##############################################################################
## BCSC IOC CSV Feedlist - URLs                                              #
#                                                                            #
## Generado en la fecha 2021-07-09 11:17:15.158524                           #
##############################################################################
#
# value, event_info, event_date 
"csv.posadadesantiago.com","Back to the Future: Inside the Kimsuky KGH Spyware Suite","2020-11-02"
"myaccounts.posadadesantiago.com","Back to the Future: Inside the Kimsuky KGH Spyware Suite","2020-11-02"
"wave.posadadesantiago.com","Back to the Future: Inside the Kimsuky KGH Spyware Suite","2020-11-02"
"www.eventosatitlan.com","Back to the Future: Inside the Kimsuky KGH Spyware Suite","2020-11-02"
"agf.zapto.org","Operation Earth Kitsune: A Dance of Two New Backdoors by RiskIQ","2020-10-28"
"rs.myftp.biz","Operation Earth Kitsune: A Dance of Two New Backdoors by RiskIQ","2020-10-28"
"selectorioi.ddns.net","Operation Earth Kitsune: A Dance of Two New Backdoors by RiskIQ","2020-10-28"
"whoami2.ddns.net","Operation Earth Kitsune: A Dance of Two New Backdoors by RiskIQ","2020-10-28"
"whoamimaster.ddns.net","Operation Earth Kitsune: A Dance of Two New Backdoors by RiskIQ","2020-10-28"
"ad.cantliee.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.hungrrybaby.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.imagodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.maybebaybe.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.raaidboss.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.saynoforbubble.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.sunofgodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"ad.tarhungangster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.cantliee.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.hungrrybaby.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.imagodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.maybebaybe.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.raaidboss.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.saynoforbubble.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.sunofgodd.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
"af.tarhungangster.com","Ryuk Ransomware: Extensive Attack Infrastructure Revealed by RiskIQ","2020-11-09"
